YEAR,State,Total_Population,White_Alone_population,Black_Alone_population,American_Indian_or_Alaskan_Native_population,Asian_Alone_population,Not_Hispanic_population,Hispanic_poulation,Total_Victims,Total_Victims_with_Race,Black_total,White_total,Hispanic_total,Asian_total,Non_Hispanic_total
2015,AK,729304,490512,26985,104812,45228,679028,50276,4,4,NULL,2,NULL,NULL,2
2016,AK,733275,490444,27510,105674,46674,681487,51788,7,7,NULL,3,NULL,NULL,4
2017,AK,731464,485882,27672,106127,48002,678576,52888,8,7,1,5,NULL,NULL,1
2018,AK,726816,480915,27578,106328,47802,673911,52905,7,7,1,3,NULL,1,2
2019,AK,723231,477175,27030,106270,47763,670268,52963,7,6,1,4,NULL,NULL,1
2015,AL,4852347,3372343,1297313,33332,67141,4652663,199684,17,17,6,11,NULL,NULL,NULL
2016,AL,4863525,3374106,1301635,33610,69476,4658145,205380,24,22,6,16,NULL,NULL,NULL
2017,AL,4874486,3376527,1305617,33840,71245,4664076,210410,25,20,6,13,1,NULL,NULL
2018,AL,4887681,3381642,1309574,34281,72354,4670490,217191,13,12,3,9,NULL,NULL,NULL
2019,AL,4903185,3389396,1313291,34799,73715,4679907,223278,11,11,7,4,NULL,NULL,NULL
2015,AR,2978048,2369297,466189,28396,46279,2764400,213648,5,5,1,4,NULL,NULL,NULL
2016,AR,2989918,2372809,469025,29074,48232,2770530,219388,15,12,2,10,NULL,NULL,NULL
2017,AR,3001345,2377792,470694,29804,49422,2775260,226085,12,10,4,5,NULL,1,NULL
2018,AR,3009733,2381554,471988,30292,49602,2778059,231674,20,20,7,13,NULL,NULL,NULL
2019,AR,3017804,2385258,473048,30717,50403,2781173,236631,21,18,8,10,NULL,NULL,NULL
2015,AZ,6829676,5699435,328032,364354,235660,4721571,2108105,42,42,1,27,12,NULL,2
2016,AZ,6941072,5773622,340938,370059,246542,4783080,2157992,49,45,2,20,17,NULL,6
2017,AZ,7044008,5845558,352008,375655,253937,4836234,2207774,44,39,5,19,15,NULL,NULL
2018,AZ,7158024,5928410,364149,380930,259928,4899168,2258856,61,48,4,25,17,NULL,2
2019,AZ,7278717,6013442,376997,385903,268723,4968127,2310590,35,31,3,9,17,NULL,2
2015,CA,38918045,28404773,2531244,638274,5685743,23887418,15030627,190,186,34,60,77,9,NULL
2016,CA,39167117,28484043,2537131,641036,5813827,23961388,15205729,139,128,22,43,58,5,NULL
2017,CA,39358497,28518935,2543564,643442,5930737,24004162,15354335,160,142,22,44,70,3,2
2018,CA,39461588,28497432,2547988,646626,6021008,23988729,15472859,116,102,19,29,50,4,NULL
2019,CA,39512223,28424739,2552757,649862,6110945,23937343,15574880,135,114,24,34,46,8,2
2015,CO,5450623,4773687,244464,86001,177346,4292376,1158247,29,28,5,11,9,2,1
2016,CO,5539215,4842319,250138,87820,183977,4356409,1182806,31,27,2,17,8,NULL,NULL
2017,CO,5611885,4897864,254236,89590,189913,4405132,1206753,31,27,3,14,7,1,2
2018,CO,5691287,4956931,259806,91444,196679,4457539,1233748,46,37,1,24,9,2,1
2019,CO,5758736,5006612,264479,92982,202664,4501832,1256904,36,34,5,15,14,NULL,NULL
2015,CT,3587122,2904483,415342,18915,163910,3039396,547726,2,2,NULL,2,NULL,NULL,NULL
2016,CT,3578141,2886999,418863,19089,166894,3018646,559495,3,3,NULL,2,1,NULL,NULL
2017,CT,3573297,2872125,423337,19542,169936,3000100,573197,5,4,1,2,1,NULL,NULL
2018,CT,3571520,2859546,428316,20136,173260,2981695,589825,1,1,NULL,1,NULL,NULL,NULL
2019,CT,3565287,2841541,434585,20567,176579,2964332,600955,4,4,1,1,2,NULL,NULL
2015,DE,941252,662385,211750,5991,36522,857841,83411,3,3,1,2,NULL,NULL,NULL
2016,DE,948921,665087,215073,6054,37419,863424,85497,1,1,NULL,1,NULL,NULL,NULL
2017,DE,956823,668104,218390,6205,38095,868450,88373,6,5,3,2,NULL,NULL,NULL
2018,DE,965479,671131,221874,6440,39101,874335,91144,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2019,DE,973764,674075,225544,6564,39863,880373,93391,2,NULL,NULL,NULL,NULL,NULL,NULL
2015,FL,20209042,15712770,3403053,99061,559565,15228205,4980837,61,61,26,25,9,NULL,NULL
2016,FL,20613477,16002588,3472527,101630,582342,15433683,5179794,60,56,16,30,8,1,NULL
2017,FL,20963613,16245729,3538457,103907,603626,15595053,5368560,57,55,17,31,7,NULL,NULL
2018,FL,21244317,16440418,3589957,106424,619302,15706460,5537857,64,62,20,34,8,NULL,NULL
2019,FL,21477737,16597392,3633515,108950,634827,15813877,5663860,64,57,17,23,16,NULL,NULL
2015,GA,10178447,6270007,3241925,51233,399426,9239455,938992,29,27,10,17,NULL,NULL,NULL
2016,GA,10301890,6305959,3298868,52741,419915,9333409,968481,27,27,11,10,5,1,NULL
2017,GA,10410330,6335279,3353318,53582,435984,9415759,994571,29,27,9,17,1,NULL,NULL
2018,GA,10511131,6361789,3404951,54748,449485,9488761,1022370,44,38,22,15,1,NULL,NULL
2019,GA,10617423,6391505,3458147,56008,463966,9568699,1048724,37,31,10,16,3,2,NULL
2015,HI,1422052,370640,29752,5637,536124,1276737,145315,2,2,1,NULL,NULL,1,NULL
2016,HI,1427559,371655,30736,5557,537694,1278967,148592,6,6,NULL,NULL,1,5,NULL
2017,HI,1424393,368793,31066,5514,535586,1274463,149930,3,2,NULL,1,NULL,1,NULL
2018,HI,1420593,365570,31129,5597,533488,1269702,150891,11,11,NULL,1,1,9,NULL
2019,HI,1415872,361317,30958,5570,532190,1265008,150864,7,7,NULL,1,NULL,6,NULL
2015,IA,3120960,2859772,111671,15780,75523,2942628,178332,5,5,NULL,5,NULL,NULL,NULL
2016,IA,3131371,2860458,116268,16133,78353,2947646,183725,5,5,3,2,NULL,NULL,NULL
2017,IA,3141550,2859774,121427,16384,81529,2952622,188928,5,5,1,4,NULL,NULL,NULL
2018,IA,3148618,2859067,125033,16787,83107,2954404,194214,9,9,1,8,NULL,NULL,NULL
2019,IA,3155070,2859080,128105,17060,84119,2956520,198550,5,5,1,4,NULL,NULL,NULL
2015,ID,1651059,1543339,13645,28893,23928,1449516,201543,7,7,NULL,6,1,NULL,NULL
2016,ID,1682380,1569732,14480,29475,25473,1473807,208573,6,6,NULL,4,2,NULL,NULL
2017,ID,1717715,1600865,15235,30053,26394,1502147,215568,6,5,NULL,4,1,NULL,NULL
2018,ID,1750536,1630052,15782,30517,26961,1528330,222206,13,12,1,10,NULL,NULL,1
2019,ID,1787065,1662365,16346,31120,27711,1557575,229490,7,6,NULL,5,1,NULL,NULL
