State,Total,WhiteTotal,BlackTotal,IndianTotal,AsianTotal,HawaiianTotal,OtherTotal,WhiteTotalPerc,BlackTotalPerc,IndianTotalPerc,AsianTotalPerc,HawaiianTotalPerc,OtherTotalPerc,WhiteHispanicPerc,BlackHispanicPerc,IndianHispanicPerc,AsianHispanicPerc,HawaiianHispanicPerc,OtherHispanicPerc,WhiteNonHispanicPerc,BlackNonHispanicPerc,IndianNonHispanicPerc,AsianNonHispanicPerc,HawaiianNonHispanicPerc,OtherNonHispanicPerc
Alabama,4893186,3302834,1301319,24764,67909,2042,194318,0.675,0.2659,0.0051,0.0139,0.0004,0.0397,0.0226,0.0017,0.0007,0.0001,0,0.0183,0.6524,0.2642,0.0044,0.0138,0.0004,0.0214
Alaska,736990,466961,23894,107298,47289,10485,81063,0.6336,0.0324,0.1456,0.0642,0.0142,0.11,0.0366,0.0016,0.0047,0.0019,0.0002,0.0269,0.597,0.0308,0.1409,0.0622,0.014,0.0831
Arizona,7174064,5292498,325105,311014,239190,14633,991624,0.7377,0.0453,0.0434,0.0333,0.002,0.1382,0.1964,0.0027,0.0054,0.0009,0.0002,0.1096,0.5414,0.0426,0.038,0.0325,0.0019,0.0286
Arkansas,3011873,2269959,457840,19146,46130,10455,208343,0.7537,0.152,0.0064,0.0153,0.0035,0.0692,0.0381,0.0008,0.0011,0.0002,0.0001,0.0359,0.7155,0.1512,0.0053,0.0151,0.0034,0.0332
California,39346023,22053721,2250962,311629,5834312,149636,8745763,0.5605,0.0572,0.0079,0.1483,0.0038,0.2223,0.1954,0.0028,0.0046,0.0023,0.0004,0.1855,0.3651,0.0544,0.0033,0.146,0.0034,0.0368
Colorado,5684926,4634305,235692,53671,181733,8883,570642,0.8152,0.0415,0.0094,0.032,0.0016,0.1004,0.1402,0.002,0.0043,0.0006,0.0002,0.0693,0.675,0.0394,0.0052,0.0314,0.0014,0.0311
Connecticut,3570549,2649994,382161,9079,163262,1189,364864,0.7422,0.107,0.0025,0.0457,0.0003,0.1022,0.0818,0.0084,0.0012,0.0004,0.0001,0.0725,0.6604,0.0986,0.0014,0.0453,0.0002,0.0297
Delaware,967679,652587,212795,3560,38528,705,59504,0.6744,0.2199,0.0037,0.0398,0.0007,0.0615,0.0593,0.0048,0.0007,0.0003,0.0004,0.0288,0.6151,0.2151,0.0029,0.0395,0.0003,0.0326
District of Columbia,701974,288306,318631,2438,28762,328,63509,0.4107,0.4539,0.0035,0.041,0.0005,0.0905,0.0435,0.0085,0.0016,0.0006,0.0001,0.0568,0.3672,0.4454,0.0018,0.0404,0.0004,0.0336
Florida,21216924,15199588,3381061,55655,590668,13339,1976613,0.7164,0.1594,0.0026,0.0278,0.0006,0.0932,0.1823,0.0071,0.0008,0.0005,0.0001,0.0669,0.5341,0.1523,0.0018,0.0273,0.0005,0.0262
