State,LawEnforcement,LawEnforcementPerCapita
New York,128311,630.0293
Maryland,38761,619.3873
Alaska,4460,604.3172
Virginia,52302,597.2275
Louisiana,27862,595.0071
New Jersey,49966,532.2092
Delaware,5217,517.3799
West Virginia,9201,516.3705
Arizona,37041,507.1749
New Mexico,10786,506.5776
Wyoming,2904,501.126
Hawaii,7285,494.1445
Mississippi,14441,487.8593
Georgia,53190,487.2325
Texas,143557,479.3943
Illinois,61072,476.7941
Kansas,13786,466.5578
Pennsylvania,60429,462.605
Missouri,28442,459.6233
Arkansas,13805,455.5134
South Dakota,4047,449.0854
Massachusetts,31388,440.4483
Florida,97131,439.7941
Tennessee,30822,438.823
North Carolina,46568,438.4865
Montana,4804,435.4656
South Carolina,21954,420.8136
New Hampshire,5833,419.7185
Alabama,21224,418.3564
Colorado,24684,416.7751
Rhode Island,4559,412.0791
Nebraska,8194,412.0619
Maine,5631,411.2744
Oklahoma,16421,410.4272
Nevada,13059,409.9609
Connecticut,14695,406.803
Wisconsin,23986,404.1405
Ohio,46836,395.1726
North Dakota,3143,392.6816
Kentucky,17716,390.2951
Indiana,25975,379.4256
Idaho,7172,378.7875
California,151348,378.4166
Michigan,36385,359.6753
Minnesota,18784,324.5891
Vermont,2080,321.71
Washington,25282,319.9674
Iowa,9914,307.9675
Utah,10087,299.0369
Oregon,12253,283.7333
